include,exclude_reason,publisher,publisher_type,publisher_basis,status_guess,title,owner,layer_name,feature_count,layer_url,item_id,seeded
1,,Uniti,carrier,carrier website: unitiwholesale.com/network-map embeds this ArcGIS map,existing,Kinetic (ex-Windstream ILEC) Dark Fiber,,Kinetic Dark Fiber,324894,https://services.arcgis.com/QO7AhQX53d0m9M2s/arcgis/rest/services/Uniti_Wholesale_Map_Demo_4_WFL1/FeatureServer/26,,infrapedia lead
1,,Uniti,carrier,carrier website: unitiwholesale.com/network-map embeds this ArcGIS map,existing,Uniti Wholesale Dark Fiber,e0187455,Uniti Wholesale Dark Fiber,245687,https://services.arcgis.com/QO7AhQX53d0m9M2s/arcgis/rest/services/Uniti_Wholesale_Dark_Fiber/FeatureServer/74,47e0f23555c74350a5064e754e9de194,infrapedia lead
1,,SEGRA,carrier,arcgis org,existing,Segra_Fiber_Network_Complete,spacekj_segramaps,Fiber Network,228782,https://services2.arcgis.com/idZndEogp4LoOmcv/arcgis/rest/services/Segra_Fiber_Network_Complete/FeatureServer/0,539e7daf09184fefb0a674cfa329922e,
1,,Uniti,carrier,carrier website: unitiwholesale.com/network-map embeds this ArcGIS map,existing,Uniti Regional Transport Network,,Regional Transport Network 6.13,96282,https://services.arcgis.com/QO7AhQX53d0m9M2s/arcgis/rest/services/Regional_Transport_Network_6_13/FeatureServer/194,,infrapedia lead
1,,"Clearnetworx, LLC",carrier,arcgis org,existing,UPN Fiber Networks Web Layer,DavidS_CLNX,Polylines,47013,https://services7.arcgis.com/KvvxShWTpOM918wk/arcgis/rest/services/UPN_Fiber_Networks_Web_Layer/FeatureServer/2,0f0f014c93c74196a068c1b18fbd0c0d,
1,,"Utah DOT (hosted by Horrocks, UDOT's GIS contractor)",public,server hostname (hand-checked),existing,UDOT Fiber Network,zachs@horrocks.com_uplan,Fiber,44942,https://gis.horrocks.com/arcgis/rest/services/UDOT_Fiber_Network/MapServer/4,5988f03b806d43769649a9f1155be72a,
1,,"Utah DOT (hosted by Horrocks, UDOT's GIS contractor)",public,server hostname (hand-checked),existing,UDOT Fiber Network,zachs@horrocks.com_uplan,Conduit,37277,https://gis.horrocks.com/arcgis/rest/services/UDOT_Fiber_Network/MapServer/5,5988f03b806d43769649a9f1155be72a,
1,,sjohnsonNorvado,carrier,owner username,existing,Norvado Fiber Timeline view,sjohnsonNorvado,FIBER_CABLE,35167,https://services5.arcgis.com/xcpZ3V9R5FRJotM2/arcgis/rest/services/Norvado_Fiber_Timeline_view/FeatureServer/2,ff7f96cf34804a0990d21622bfb77425,
1,,NoaNet,public,arcgis org,existing,NoanetMemberFiber,kira.nelson@noanet.net_NoaNet,NoanetMemberFiber,33398,https://services8.arcgis.com/M6FVSymJ2XsnL91N/arcgis/rest/services/NoanetMemberFiber/FeatureServer/12,0a04bdf574a24c00abb1c80f2644a160,
1,,sjohnsonNorvado,carrier,owner username,existing,FIBER_CABLE_8_25_26,sjohnsonNorvado,FIBER_CABLE_backup,32914,https://services5.arcgis.com/xcpZ3V9R5FRJotM2/arcgis/rest/services/FIBER_CABLE_8_25_26/FeatureServer/0,2ea8edb57b8143a2b7c24d026e69a522,
1,,Uniti,carrier,carrier website: unitiwholesale.com/network-map embeds this ArcGIS map,existing,Uniti National Core Network,,National Core Network 6.12,28620,https://services.arcgis.com/QO7AhQX53d0m9M2s/arcgis/rest/services/National_Core_Network_6_12/FeatureServer/191,,infrapedia lead
1,,"City of Wenatchee, WA GIS Mapping",public,arcgis org,existing,2020 PUD Fiber Electric,GISAdmin_Wenatchee,PUD Fiber,17728,https://services1.arcgis.com/yRJwhpord26CsXKm/arcgis/rest/services/2020_PUD_Fiber_Electric/FeatureServer/34,904e82145d6f415093d673d0e32d7a8b,
1,,Florida DOT District 7 (Westshore Interchange project),public,public agency project account (hand-checked),existing,FDOT D7 Westshore surveyed utilities: Fdot Its Traffic,,UTEXRD_FDOT_ITS_TRAFFIC_20250401,16674,https://services9.arcgis.com/ssjvmF1sZLRQUcYv/arcgis/rest/services/UTEXRD_FDOT_ITS_TRAFFIC_20250401/FeatureServer/208,,infrapedia lead
1,,"Montgomery County, MD",public,arcgis org,existing,Fiber Routes Commercial,yachi.chen,Fiberlight (2017),12540,https://services.arcgis.com/hdlG36cOubTzNDBb/arcgis/rest/services/Fiber_Routes_Commercial/FeatureServer/2,8cc92662dd614663a9842a8148239c7d,
1,,Choptank Electric Cooperative,public,owner username (hand-checked),existing,RDOF_Map,ChoptankAdmin,Current_Fiber,10664,https://services3.arcgis.com/uBaTNMlEPqpQNexu/arcgis/rest/services/RDOF_Map/FeatureServer/1,f7f67dfe3b9c43358b2262b007fef31a,
1,,Texas Department of Transportation,public,arcgis org,existing,Fiberlight_Network,TRF_GIS_TXDOT,Fiberlight Network,8106,https://services.arcgis.com/KTcxiTD9dsQw4r7Z/arcgis/rest/services/Fiberlight_Network/FeatureServer/0,2730494e75ba42258687a2a4e03cb93a,
1,,"City of Hillsboro, Oregon",public,item credits,existing,Transportation Conduit Utilities,Open_Data_Publisher, Transportation Conduit,8022,https://services1.arcgis.com/eQ2vvbCvmxlIgo3a/arcgis/rest/services/Transportation_Conduit_Utilities/FeatureServer/980471,005fde0551f84373a9f732256fcdc52a,
1,,CONSUMERS POWER INC.,public,arcgis org,existing,AllFiberSpans,bradyh@cpi.coop,AllFiberSpans,7527,https://services3.arcgis.com/PdirpvejTviXRBSF/arcgis/rest/services/AllFiberSpans/FeatureServer/0,e829b77e069747ce80cc21a00d863c95,
1,,gehebkb@poncacityok.gov,public,owner username,existing,Fiber conumer Map,gehebkb@poncacityok.gov,Fiber cables - Aerial,7405,https://services6.arcgis.com/Dosymvda4OueTcnj/arcgis/rest/services/Fiber_conumer_Map/FeatureServer/2,89b8f35759b848d1b359640aec3be6f3,
1,,Whatcom Council of Governments,public,arcgis org,existing,Bellingham Conduits 2018,jaymes_WCOG,Bellingham_Conduits_2018,6029,https://services2.arcgis.com/6rZe5COXo6Zoe0EA/arcgis/rest/services/Bellingham_Conduits_2018/FeatureServer/0,5534490d3041426b9d9d70a17682b652,
1,,Centre Wellington Communications,carrier,item credits,existing,CWFibre,cwarcgis,Wightman Fibre (2021),6011,https://utility.arcgis.com/usrsvcs/servers/066e3de1511d4b38bc812b4969960041/rest/services/CWFibre/MapServer/8,066e3de1511d4b38bc812b4969960041,
1,,Westelcom,carrier,owner username (hand-checked),existing,Westelcom_Fiber_-_View,WTC_Edit_Slic_GIS,Spans,5422,https://services6.arcgis.com/kqmnItpfwaHwLdiz/arcgis/rest/services/Westelcom_Fiber_-_View/FeatureServer/5,b838d1b962c04ea2b4083b7b0c818412,
1,,"Office of Science, Innovation and Technology",public,arcgis org,existing,fiber_routes,kucinski.gis@gmail.com,fiber_routes,5215,https://services8.arcgis.com/6zoy8FhqGf9FaeLx/arcgis/rest/services/fiber_routes/FeatureServer/123,3ede9c8496094c9e82584590109f3d38,
1,,Pickaway County GIS,public,arcgis org,existing,Fiber,jgillow@pickaway.org,Fiber,4291,https://services6.arcgis.com/FhJ42byMw3LmPYCN/arcgis/rest/services/Fiber/FeatureServer/5,f7afebcae0bc4c84aa9699bbd87c8716,
1,,NoaNet,public,arcgis org,existing,NNfiber,andrew.wuest@noanet.net_NoaNet,NNfiber,4214,https://services8.arcgis.com/M6FVSymJ2XsnL91N/arcgis/rest/services/NNfiber/FeatureServer/0,6e31a050b759438481fec53a6442671e,
1,,ATC Communications,carrier,arcgis org,existing,Fiber Cable,rtorrence_atcnet,Fiber Cable,3992,https://services5.arcgis.com/uSFncl0cOssKlssk/arcgis/rest/services/Fiber_Cable/FeatureServer/12,75786e8af71c4de6950f2deb1ee2d578,
1,,ATC Communications,carrier,arcgis org,existing,Fiber,rtorrence_atcnet,DBO.FiberCableTrace,3833,https://services5.arcgis.com/uSFncl0cOssKlssk/arcgis/rest/services/Fiber/FeatureServer/0,24e5e7d34ed14dee8fb20d69f17a7f68,
1,,Jackson EMC (electric co-op),public,owner username (hand-checked),existing,FlashFiberFootprintp,blovett_jwemc,Distribution Fiber,3610,https://services7.arcgis.com/kY8JFNt2NP4Zmqyg/arcgis/rest/services/FlashFiberFootprintp/FeatureServer/0,fb7c2c6fdef846218e35d04bc37ad7a4,
1,,gehebkb@poncacityok.gov,public,owner username,existing,Fiber conumer Map,gehebkb@poncacityok.gov,Fiber cables - Buried,3446,https://services6.arcgis.com/Dosymvda4OueTcnj/arcgis/rest/services/Fiber_conumer_Map/FeatureServer/1,89b8f35759b848d1b359640aec3be6f3,
1,,Fort Bend County GIS,public,arcgis org,existing,FBC PLW Fiber_WFL1,FBC_AGOAdmin,Polylines,3362,https://services.arcgis.com/HfQs2ClqmipKpmFK/arcgis/rest/services/FBC_PLW_Fiber_WFL1/FeatureServer/1,5a4a1f75f4e947489e6aaa4882887008,
1,,"Manatee County, FL",public,server hostname (hand-checked),existing,Data Communication,siteadmin_mcg,Data Conduit,3218,https://www.mymanatee.org/gisutil/rest/services/utilitiesinfrastructure/datacommunication/FeatureServer/1,90f2b33b2a744628ad76e1ff4d147152,
1,,Uniti,carrier,carrier website: unitiwholesale.com/network-map embeds this ArcGIS map,existing,Uniti Key Strategic Routes,,Key Strategic Routes,3185,https://services.arcgis.com/QO7AhQX53d0m9M2s/arcgis/rest/services/Key_Strategic_Routes_731/FeatureServer/199,,infrapedia lead
1,,City of Sherwood,public,arcgis org,existing,Fiber,LewisM@sherwoodoregon.gov_COS,Fiber Cable,3161,https://services5.arcgis.com/ikEzR7lqVIlrcVFn/arcgis/rest/services/Fiber/FeatureServer/3,d80f0829d8924fb08b476fc29f22f8d6,
1,,Fort Bend County GIS,public,arcgis org,existing,Fiber Optic Lines and Points,FBC_AGOAdmin,plw_fiberoptic,3110,https://services.arcgis.com/HfQs2ClqmipKpmFK/arcgis/rest/services/Fiber_Optic_Lines_and_Points/FeatureServer/0,091b08fdaa9a4b49b4c80513e244501e,
1,,Arizona Dept of Transportation,public,arcgis org,existing,I40 W Broadband Data Submission to USFS (Revised),SThompson@azdot.gov_adot,I40W_Fiber_Final,3059,https://services1.arcgis.com/XAiBIVuto7zeZj1B/arcgis/rest/services/I40_W_Broadband_Data_Submission_to_USFS_(Revised)/FeatureServer/1,304e5170ecaf4f2d989b7b14c407cde1,
1,,Mid-Region Metropolitan Planning Organization,public,arcgis org,existing,AMPA_ITS_TIPReviewCorrEtc,nmasek_MRMPO,CoA_Fiber_June2016_NEW,2619,https://services1.arcgis.com/i3mLmgyL55IkFf81/arcgis/rest/services/AMPA_ITS_TIPReviewCorrEtc/FeatureServer/18,d06c8f9c0de74a23b2ac4b8e3b295371,
1,,Bedford County GIS,public,arcgis org,existing,MBC Existing Fiber Network in Bedford County - 2023,archive_BedfordVAGIS,Polylines,2504,https://services3.arcgis.com/DXCmCcRcEQ793kMP/arcgis/rest/services/MBC_Existing_Fiber/FeatureServer/0,8a62451ddb87463ab8f2a84af806fc2c,
